,state,X,Y
0,Ladakh,-78.0,239.0
1,Jammu & Kashmir,-213.0,231.0
2,Himachal Pradesh,-31.0,195.0
3,Uttrakhand,-21.0,157.0
4,Punjab,-153.0,177.0
5,Haryana,-129.0,140.0
6,Delhi,-90.0,124.0
7,Uttar Pradesh,-35.0,94.0
8,Bihar,55.0,80.0
9,Jharkhand,50.0,40.0
10,Sikkim,113.0,124.0
11,West Bengal,145.0,16.0
12,Assam,180.0,95.0
13,Arunachal Pradesh,231.0,138.0
14,Meghalaya,170.0,73.0
15,Nagaland,270.0,95.0
16,Manipur,250.0,65.0
17,Mizoram,240.0,25.0
18,Tripura,180.0,44.0
19,Rajasthan,-180.0,106.0
20,Madhya Pradesh,-81.0,29.0
21,Chattisgarh,-28.0,-3.0
22,Orrisa,70.0,-17.0
23,Gujarat,-224.0,31.0
24,Maharashtra,-183.0,-43.0
25,Goa,-182.0,-112.0
26,Tamil Nadu,-25.0,-195.0
27,Kerala,-137.0,-201.0
28,Karnataka,-166.0,-137.0
29,Telangana,-69.0,-70.0
30,Andhra Pradesh,-58.0,-120.0
